Brand,Processor,RAM (GB),Storage,GPU,Screen Size (inch),Resolution,Battery Life (hours),Weight (kg),Operating System,Price ($)
MSI,AMD Ryzen 3,4,256GB SSD,AMD Radeon RX 6800,13.3,2560x1440,11.0,1.93,Linux,1285.22
Razer,AMD Ryzen 7,16,256GB SSD,Integrated,13.3,3840x2160,8.6,3.11,FreeDOS,2174.64
MSI,Intel i3,16,512GB SSD,Nvidia RTX 3080,16.0,2560x1440,6.9,2.87,FreeDOS,1740.3
MSI,Intel i5,64,1TB HDD,AMD Radeon RX 6800,13.3,3840x2160,4.5,2.93,FreeDOS,4144.31
Samsung,AMD Ryzen 3,16,1TB HDD,Nvidia RTX 3060,16.0,3840x2160,10.0,2.51,Windows,1586.06
MSI,AMD Ryzen 3,32,1TB HDD,Nvidia RTX 3080,16.0,1366x768,6.2,2.31,Linux,1428.5
Microsoft,Intel i5,64,1TB HDD,AMD Radeon RX 6800,13.3,1920x1080,11.6,1.86,macOS,2051.18
Lenovo,AMD Ryzen 9,32,256GB SSD,AMD Radeon RX 6600,14.0,1366x768,10.0,3.19,FreeDOS,2308.97
Dell,Intel i9,64,512GB SSD,Integrated,16.0,1366x768,10.5,2.52,Windows,2498.0
Samsung,Intel i5,64,512GB SSD,Integrated,16.0,1366x768,10.3,1.62,Linux,1394.24
Samsung,Intel i9,32,1TB SSD,AMD Radeon RX 6600,13.3,1920x1080,8.1,3.06,FreeDOS,2666.82
Razer,AMD Ryzen 3,64,512GB SSD,Integrated,17.3,2560x1440,9.0,1.52,macOS,2622.91
Lenovo,AMD Ryzen 7,4,2TB SSD,Nvidia RTX 3080,17.3,3840x2160,8.3,2.56,Linux,2120.99
Acer,Intel i9,8,1TB HDD,Nvidia RTX 3080,17.3,3840x2160,11.3,2.98,FreeDOS,2402.62
Lenovo,AMD Ryzen 3,8,2TB SSD,AMD Radeon RX 6600,13.3,2560x1440,8.5,1.64,Linux,1179.89
MSI,AMD Ryzen 7,32,512GB SSD,Nvidia RTX 3060,14.0,1366x768,11.5,2.27,Linux,2045.0
Samsung,AMD Ryzen 3,8,512GB SSD,Nvidia GTX 1650,16.0,1920x1080,5.7,2.93,macOS,929.34
Apple,AMD Ryzen 5,4,1TB HDD,Nvidia RTX 2060,17.3,2560x1440,10.6,1.29,FreeDOS,1676.89
Razer,AMD Ryzen 5,8,1TB SSD,Nvidia GTX 1650,16.0,3840x2160,6.5,2.46,Windows,2513.93
Samsung,Intel i5,8,1TB HDD,Nvidia GTX 1650,17.3,2560x1440,6.2,1.39,Windows,1271.58
Microsoft,AMD Ryzen 5,4,2TB SSD,AMD Radeon RX 6800,14.0,2560x1440,8.2,1.2,Windows,1252.86
Dell,Intel i9,64,1TB HDD,Nvidia GTX 1650,16.0,3840x2160,4.4,2.7,macOS,6088.95
Apple,AMD Ryzen 7,8,256GB SSD,Nvidia GTX 1650,17.3,1920x1080,6.6,2.56,FreeDOS,2183.54
Razer,Intel i9,4,1TB SSD,Nvidia RTX 3060,13.3,3840x2160,9.8,2.57,macOS,3450.78
Apple,AMD Ryzen 5,4,2TB SSD,Nvidia RTX 2060,17.3,1366x768,7.4,2.18,Linux,1166.4
MSI,AMD Ryzen 3,64,512GB SSD,AMD Radeon RX 6800,14.0,1366x768,9.3,1.23,Linux,2098.19
Asus,AMD Ryzen 9,4,1TB HDD,Nvidia RTX 2060,17.3,1920x1080,7.4,2.98,FreeDOS,1355.1
Asus,AMD Ryzen 9,32,1TB SSD,AMD Radeon RX 6600,17.3,1366x768,6.1,2.57,Windows,2287.22
Apple,Intel i3,8,1TB SSD,Nvidia RTX 3060,15.6,3840x2160,4.6,1.68,Windows,2327.0
Apple,Intel i9,32,256GB SSD,Nvidia RTX 3080,17.3,3840x2160,5.3,3.04,Linux,7309.7
Dell,Intel i9,32,1TB HDD,Nvidia RTX 2060,14.0,3840x2160,6.1,3.06,macOS,3556.24
MSI,Intel i5,16,1TB SSD,Nvidia RTX 3080,13.3,1920x1080,10.3,1.93,Linux,1623.16
Dell,Intel i5,64,2TB SSD,AMD Radeon RX 6600,14.0,1366x768,6.1,3.06,FreeDOS,1987.88
Samsung,AMD Ryzen 5,32,2TB SSD,Nvidia RTX 3060,14.0,3840x2160,11.2,2.16,Windows,2645.32
Razer,Intel i3,16,256GB SSD,Nvidia GTX 1650,17.3,2560x1440,10.0,3.12,macOS,1901.96
Samsung,Intel i7,4,512GB SSD,Nvidia RTX 3080,13.3,1366x768,9.3,1.21,FreeDOS,931.42
Samsung,AMD Ryzen 5,64,1TB HDD,AMD Radeon RX 6600,15.6,1920x1080,8.3,3.46,FreeDOS,2088.75
Lenovo,AMD Ryzen 5,64,512GB SSD,Nvidia RTX 3080,17.3,2560x1440,11.2,1.53,Linux,3217.95
Dell,AMD Ryzen 3,8,1TB SSD,Nvidia RTX 3060,14.0,3840x2160,9.4,1.69,macOS,1340.49
HP,AMD Ryzen 3,16,2TB SSD,Nvidia RTX 3080,17.3,3840x2160,10.7,2.0,Linux,1888.36
